"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 3","3 wk ahead","Bin","percent","3.4","3.5",0.0207
"HHS Region 3","3 wk ahead","Bin","percent","3.5","3.6",0.0162
"HHS Region 3","3 wk ahead","Bin","percent","3.6","3.7",0.0145
"HHS Region 3","3 wk ahead","Bin","percent","3.7","3.8",0.0146
"HHS Region 3","3 wk ahead","Bin","percent","3.8","3.9",0.0104
"HHS Region 3","3 wk ahead","Bin","percent","3.9","4.0",0.0124
"HHS Region 3","3 wk ahead","Bin","percent","4.0","4.1",0.0097
"HHS Region 3","3 wk ahead","Bin","percent","4.1","4.2",0.0119
"HHS Region 3","3 wk ahead","Bin","percent","4.2","4.3",0.0078
"HHS Region 3","3 wk ahead","Bin","percent","4.3","4.4",0.0089
"HHS Region 3","3 wk ahead","Bin","percent","4.4","4.5",0.0078
"HHS Region 3","3 wk ahead","Bin","percent","4.5","4.6",0.0073
"HHS Region 3","3 wk ahead","Bin","percent","4.6","4.7",0.0085
"HHS Region 3","3 wk ahead","Bin","percent","4.7","4.8",0.0061
"HHS Region 3","3 wk ahead","Bin","percent","4.8","4.9",0.0063
"HHS Region 3","3 wk ahead","Bin","percent","4.9","5.0",0.0057
"HHS Region 3","3 wk ahead","Bin","percent","5.0","5.1",0.005
"HHS Region 3","3 wk ahead","Bin","percent","5.1","5.2",0.0063
"HHS Region 3","3 wk ahead","Bin","percent","5.2","5.3",0.0038
"HHS Region 3","3 wk ahead","Bin","percent","5.3","5.4",0.0025
"HHS Region 3","3 wk ahead","Bin","percent","5.4","5.5",0.0027
"HHS Region 3","3 wk ahead","Bin","percent","5.5","5.6",0.0029
"HHS Region 3","3 wk ahead","Bin","percent","5.6","5.7",0.0014
"HHS Region 3","3 wk ahead","Bin","percent","5.7","5.8",0.0012
"HHS Region 3","3 wk ahead","Bin","percent","5.8","5.9",0.0011
"HHS Region 3","3 wk ahead","Bin","percent","5.9","6.0",0.0013
"HHS Region 3","3 wk ahead","Bin","percent","6.0","6.1",7e-04
"HHS Region 3","3 wk ahead","Bin","percent","6.1","6.2",0.001
"HHS Region 3","3 wk ahead","Bin","percent","6.2","6.3",0.001
"HHS Region 3","3 wk ahead","Bin","percent","6.3","6.4",7e-04
"HHS Region 3","3 wk ahead","Bin","percent","6.4","6.5",3e-04
"HHS Region 3","3 wk ahead","Bin","percent","6.5","6.6",4e-04
"HHS Region 3","3 wk ahead","Bin","percent","6.6","6.7",5e-04
"HHS Region 3","3 wk ahead","Bin","percent","6.7","6.8",4e-04
"HHS Region 3","3 wk ahead","Bin","percent","6.8","6.9",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 3","3 wk ahead","Bin","percent","7.0","7.1",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 3","3 wk ahead","Bin","percent","7.2","7.3",3e-04
"HHS Region 3","3 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 3","3 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 3","3 wk ahead","Bin","percent","7.5","7.6",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","7.6","7.7",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","7.7","7.8",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 3","3 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 3","3 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 3","3 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 3","3 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 3","3 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 3","3 wk ahead","Bin","percent","8.4","8.5",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 3","3 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 3","3 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 3","3 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 3","3 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 3","3 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 3","3 wk ahead","Bin","percent","9.1","9.2",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 3","3 wk ahead","Bin","percent","9.3","9.4",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 3","3 wk ahead","Bin","percent","9.5","9.6",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","9.6","9.7",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 3","3 wk ahead","Bin","percent","9.8","9.9",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","9.9","10.0",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 3","3 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 3","3 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 3","3 wk ahead","Bin","percent","10.3","10.4",3e-04
"HHS Region 3","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 3","3 wk ahead","Bin","percent","10.5","10.6",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 3","3 wk ahead","Bin","percent","10.7","10.8",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 3","3 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 3","3 wk ahead","Bin","percent","11.0","11.1",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 3","3 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 3","3 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 3","3 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 3","3 wk ahead","Bin","percent","11.5","11.6",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 3","3 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 3","3 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 3","3 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 3","3 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 3","3 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 3","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 3","3 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 3","3 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 3","3 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 3","3 wk ahead","Bin","percent","12.6","12.7",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 3","3 wk ahead","Bin","percent","12.8","12.9",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","12.9","13.0",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","13.0","100.0",0.0016
"HHS Region 3","4 wk ahead","Point","percent",NA,NA,2.9
"HHS Region 3","4 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 3","4 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 3","4 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 3","4 wk ahead","Bin","percent","0.3","0.4",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 3","4 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 3","4 wk ahead","Bin","percent","0.6","0.7",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","0.7","0.8",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","0.8","0.9",4e-04
"HHS Region 3","4 wk ahead","Bin","percent","0.9","1.0",0.0017
"HHS Region 3","4 wk ahead","Bin","percent","1.0","1.1",0.001
"HHS Region 3","4 wk ahead","Bin","percent","1.1","1.2",0.003
"HHS Region 3","4 wk ahead","Bin","percent","1.2","1.3",0.0033
"HHS Region 3","4 wk ahead","Bin","percent","1.3","1.4",0.0034
"HHS Region 3","4 wk ahead","Bin","percent","1.4","1.5",0.0044
"HHS Region 3","4 wk ahead","Bin","percent","1.5","1.6",0.0113
"HHS Region 3","4 wk ahead","Bin","percent","1.6","1.7",0.0116
"HHS Region 3","4 wk ahead","Bin","percent","1.7","1.8",0.0138
"HHS Region 3","4 wk ahead","Bin","percent","1.8","1.9",0.0169
"HHS Region 3","4 wk ahead","Bin","percent","1.9","2.0",0.0185
"HHS Region 3","4 wk ahead","Bin","percent","2.0","2.1",0.0235
"HHS Region 3","4 wk ahead","Bin","percent","2.1","2.2",0.0297
"HHS Region 3","4 wk ahead","Bin","percent","2.2","2.3",0.0314
"HHS Region 3","4 wk ahead","Bin","percent","2.3","2.4",0.0407
"HHS Region 3","4 wk ahead","Bin","percent","2.4","2.5",0.0405
"HHS Region 3","4 wk ahead","Bin","percent","2.5","2.6",0.0409
"HHS Region 3","4 wk ahead","Bin","percent","2.6","2.7",0.0528
"HHS Region 3","4 wk ahead","Bin","percent","2.7","2.8",0.054
"HHS Region 3","4 wk ahead","Bin","percent","2.8","2.9",0.0564
"HHS Region 3","4 wk ahead","Bin","percent","2.9","3.0",0.0518
"HHS Region 3","4 wk ahead","Bin","percent","3.0","3.1",0.048
"HHS Region 3","4 wk ahead","Bin","percent","3.1","3.2",0.0432
"HHS Region 3","4 wk ahead","Bin","percent","3.2","3.3",0.0344
"HHS Region 3","4 wk ahead","Bin","percent","3.3","3.4",0.0323
"HHS Region 3","4 wk ahead","Bin","percent","3.4","3.5",0.0298
"HHS Region 3","4 wk ahead","Bin","percent","3.5","3.6",0.0213
"HHS Region 3","4 wk ahead","Bin","percent","3.6","3.7",0.0244
"HHS Region 3","4 wk ahead","Bin","percent","3.7","3.8",0.023
"HHS Region 3","4 wk ahead","Bin","percent","3.8","3.9",0.017
"HHS Region 3","4 wk ahead","Bin","percent","3.9","4.0",0.0143
"HHS Region 3","4 wk ahead","Bin","percent","4.0","4.1",0.0119
"HHS Region 3","4 wk ahead","Bin","percent","4.1","4.2",0.0106
"HHS Region 3","4 wk ahead","Bin","percent","4.2","4.3",0.0107
"HHS Region 3","4 wk ahead","Bin","percent","4.3","4.4",0.0097
"HHS Region 3","4 wk ahead","Bin","percent","4.4","4.5",0.0112
"HHS Region 3","4 wk ahead","Bin","percent","4.5","4.6",0.0083
"HHS Region 3","4 wk ahead","Bin","percent","4.6","4.7",0.009
"HHS Region 3","4 wk ahead","Bin","percent","4.7","4.8",0.0086
"HHS Region 3","4 wk ahead","Bin","percent","4.8","4.9",0.0063
"HHS Region 3","4 wk ahead","Bin","percent","4.9","5.0",0.0094
"HHS Region 3","4 wk ahead","Bin","percent","5.0","5.1",0.0091
"HHS Region 3","4 wk ahead","Bin","percent","5.1","5.2",0.0073
"HHS Region 3","4 wk ahead","Bin","percent","5.2","5.3",0.0062
"HHS Region 3","4 wk ahead","Bin","percent","5.3","5.4",0.0061
"HHS Region 3","4 wk ahead","Bin","percent","5.4","5.5",0.0064
"HHS Region 3","4 wk ahead","Bin","percent","5.5","5.6",0.0059
"HHS Region 3","4 wk ahead","Bin","percent","5.6","5.7",0.0049
"HHS Region 3","4 wk ahead","Bin","percent","5.7","5.8",0.0054
"HHS Region 3","4 wk ahead","Bin","percent","5.8","5.9",0.005
"HHS Region 3","4 wk ahead","Bin","percent","5.9","6.0",0.0059
"HHS Region 3","4 wk ahead","Bin","percent","6.0","6.1",0.0039
"HHS Region 3","4 wk ahead","Bin","percent","6.1","6.2",0.0048
"HHS Region 3","4 wk ahead","Bin","percent","6.2","6.3",0.0044
"HHS Region 3","4 wk ahead","Bin","percent","6.3","6.4",0.0039
"HHS Region 3","4 wk ahead","Bin","percent","6.4","6.5",0.0024
"HHS Region 3","4 wk ahead","Bin","percent","6.5","6.6",0.0022
"HHS Region 3","4 wk ahead","Bin","percent","6.6","6.7",0.0027
"HHS Region 3","4 wk ahead","Bin","percent","6.7","6.8",0.001
"HHS Region 3","4 wk ahead","Bin","percent","6.8","6.9",0.0021
"HHS Region 3","4 wk ahead","Bin","percent","6.9","7.0",0.0013
"HHS Region 3","4 wk ahead","Bin","percent","7.0","7.1",8e-04
"HHS Region 3","4 wk ahead","Bin","percent","7.1","7.2",0.0011
"HHS Region 3","4 wk ahead","Bin","percent","7.2","7.3",0.0018
"HHS Region 3","4 wk ahead","Bin","percent","7.3","7.4",6e-04
"HHS Region 3","4 wk ahead","Bin","percent","7.4","7.5",8e-04
"HHS Region 3","4 wk ahead","Bin","percent","7.5","7.6",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","7.6","7.7",7e-04
"HHS Region 3","4 wk ahead","Bin","percent","7.7","7.8",4e-04
"HHS Region 3","4 wk ahead","Bin","percent","7.8","7.9",0.001
"HHS Region 3","4 wk ahead","Bin","percent","7.9","8.0",4e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.0","8.1",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.1","8.2",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.2","8.3",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.3","8.4",4e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.4","8.5",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 3","4 wk ahead","Bin","percent","8.6","8.7",4e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 3","4 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 3","4 wk ahead","Bin","percent","8.9","9.0",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 3","4 wk ahead","Bin","percent","9.1","9.2",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","9.2","9.3",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 3","4 wk ahead","Bin","percent","9.4","9.5",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 3","4 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 3","4 wk ahead","Bin","percent","9.7","9.8",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 3","4 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 3","4 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 3","4 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 3","4 wk ahead","Bin","percent","10.2","10.3",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","10.3","10.4",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","10.4","10.5",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","10.5","10.6",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","10.6","10.7",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 3","4 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 3","4 wk ahead","Bin","percent","10.9","11.0",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 3","4 wk ahead","Bin","percent","11.1","11.2",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 3","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 3","4 wk ahead","Bin","percent","11.4","11.5",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 3","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 3","4 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 3","4 wk ahead","Bin","percent","11.8","11.9",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","11.9","12.0",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 3","4 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 3","4 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 3","4 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 3","4 wk ahead","Bin","percent","12.4","12.5",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 3","4 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 3","4 wk ahead","Bin","percent","12.7","12.8",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 3","4 wk ahead","Bin","percent","12.9","13.0",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","13.0","100.0",0.0023
"HHS Region 4","1 wk ahead","Point","percent",NA,NA,2.6
"HHS Region 4","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 4","1 wk ahead","Bin","percent","0.1","0.2",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 4","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 4","1 wk ahead","Bin","percent","0.4","0.5",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","0.5","0.6",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 4","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 4","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 4","1 wk ahead","Bin","percent","0.9","1.0",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 4","1 wk ahead","Bin","percent","1.1","1.2",5e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.2","1.3",7e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.3","1.4",3e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.4","1.5",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.5","1.6",8e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.6","1.7",0.0017
"HHS Region 4","1 wk ahead","Bin","percent","1.7","1.8",0.0033
"HHS Region 4","1 wk ahead","Bin","percent","1.8","1.9",0.0099
"HHS Region 4","1 wk ahead","Bin","percent","1.9","2.0",0.0142
"HHS Region 4","1 wk ahead","Bin","percent","2.0","2.1",0.0275
"HHS Region 4","1 wk ahead","Bin","percent","2.1","2.2",0.0479
"HHS Region 4","1 wk ahead","Bin","percent","2.2","2.3",0.0631
"HHS Region 4","1 wk ahead","Bin","percent","2.3","2.4",0.0911
"HHS Region 4","1 wk ahead","Bin","percent","2.4","2.5",0.1081
"HHS Region 4","1 wk ahead","Bin","percent","2.5","2.6",0.1164
"HHS Region 4","1 wk ahead","Bin","percent","2.6","2.7",0.1218
"HHS Region 4","1 wk ahead","Bin","percent","2.7","2.8",0.0973
"HHS Region 4","1 wk ahead","Bin","percent","2.8","2.9",0.0734
"HHS Region 4","1 wk ahead","Bin","percent","2.9","3.0",0.0734
"HHS Region 4","1 wk ahead","Bin","percent","3.0","3.1",0.0539
"HHS Region 4","1 wk ahead","Bin","percent","3.1","3.2",0.0385
"HHS Region 4","1 wk ahead","Bin","percent","3.2","3.3",0.0215
"HHS Region 4","1 wk ahead","Bin","percent","3.3","3.4",0.0149
"HHS Region 4","1 wk ahead","Bin","percent","3.4","3.5",0.0075
"HHS Region 4","1 wk ahead","Bin","percent","3.5","3.6",0.0034
"HHS Region 4","1 wk ahead","Bin","percent","3.6","3.7",0.0027
"HHS Region 4","1 wk ahead","Bin","percent","3.7","3.8",0.001
"HHS Region 4","1 wk ahead","Bin","percent","3.8","3.9",4e-04
"HHS Region 4","1 wk ahead","Bin","percent","3.9","4.0",3e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.0","4.1",4e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.1","4.2",0
"HHS Region 4","1 wk ahead","Bin","percent","4.2","4.3",0
"HHS Region 4","1 wk ahead","Bin","percent","4.3","4.4",0
"HHS Region 4","1 wk ahead","Bin","percent","4.4","4.5",3e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.5","4.6",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.6","4.7",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.7","4.8",0
"HHS Region 4","1 wk ahead","Bin","percent","4.8","4.9",0
"HHS Region 4","1 wk ahead","Bin","percent","4.9","5.0",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","5.0","5.1",0
"HHS Region 4","1 wk ahead","Bin","percent","5.1","5.2",0
"HHS Region 4","1 wk ahead","Bin","percent","5.2","5.3",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","5.3","5.4",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","5.4","5.5",0
"HHS Region 4","1 wk ahead","Bin","percent","5.5","5.6",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 4","1 wk ahead","Bin","percent","5.7","5.8",0
"HHS Region 4","1 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 4","1 wk ahead","Bin","percent","5.9","6.0",0
"HHS Region 4","1 wk ahead","Bin","percent","6.0","6.1",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 4","1 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 4","1 wk ahead","Bin","percent","6.3","6.4",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 4","1 wk ahead","Bin","percent","6.5","6.6",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 4","1 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 4","1 wk ahead","Bin","percent","6.8","6.9",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 4","1 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 4","1 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 4","1 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 4","1 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 4","1 wk ahead","Bin","percent","7.4","7.5",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 4","1 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 4","1 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 4","1 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 4","1 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 4","1 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 4","1 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 4","1 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 4","1 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 4","1 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 4","1 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 4","1 wk ahead","Bin","percent","8.6","8.7",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","8.7","8.8",3e-04
"HHS Region 4","1 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 4","1 wk ahead","Bin","percent","8.9","9.0",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 4","1 wk ahead","Bin","percent","9.1","9.2",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 4","1 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 4","1 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 4","1 wk ahead","Bin","percent","9.5","9.6",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","9.6","9.7",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 4","1 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 4","1 wk ahead","Bin","percent","9.9","10.0",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","10.0","10.1",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 4","1 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 4","1 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 4","1 wk ahead","Bin","percent","10.4","10.5",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 4","1 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 4","1 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 4","1 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 4","1 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 4","1 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 4","1 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 4","1 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 4","1 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 4","1 wk ahead","Bin","percent","11.4","11.5",2e-04
