"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 3","3 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 3","3 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 3","3 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 3","3 wk ahead","Bin","percent","10.1","10.2",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","10.2","10.3",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","10.3","10.4",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 3","3 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 3","3 wk ahead","Bin","percent","10.6","10.7",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 3","3 wk ahead","Bin","percent","10.8","10.9",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","10.9","11.0",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 3","3 wk ahead","Bin","percent","11.1","11.2",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 3","3 wk ahead","Bin","percent","11.3","11.4",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 3","3 wk ahead","Bin","percent","11.5","11.6",3e-04
"HHS Region 3","3 wk ahead","Bin","percent","11.6","11.7",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","11.7","11.8",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 3","3 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 3","3 wk ahead","Bin","percent","12.0","12.1",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 3","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 3","3 wk ahead","Bin","percent","12.3","12.4",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","12.4","12.5",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","12.5","12.6",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","12.6","12.7",3e-04
"HHS Region 3","3 wk ahead","Bin","percent","12.7","12.8",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","12.8","12.9",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 3","3 wk ahead","Bin","percent","13.0","100.0",1e-04
"HHS Region 3","4 wk ahead","Point","percent",NA,NA,1.9
"HHS Region 3","4 wk ahead","Bin","percent","0.0","0.1",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","0.1","0.2",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","0.2","0.3",0.001
"HHS Region 3","4 wk ahead","Bin","percent","0.3","0.4",0.0017
"HHS Region 3","4 wk ahead","Bin","percent","0.4","0.5",0.003
"HHS Region 3","4 wk ahead","Bin","percent","0.5","0.6",0.0041
"HHS Region 3","4 wk ahead","Bin","percent","0.6","0.7",0.004
"HHS Region 3","4 wk ahead","Bin","percent","0.7","0.8",0.0056
"HHS Region 3","4 wk ahead","Bin","percent","0.8","0.9",0.0054
"HHS Region 3","4 wk ahead","Bin","percent","0.9","1.0",0.0043
"HHS Region 3","4 wk ahead","Bin","percent","1.0","1.1",0.0062
"HHS Region 3","4 wk ahead","Bin","percent","1.1","1.2",0.0052
"HHS Region 3","4 wk ahead","Bin","percent","1.2","1.3",0.0062
"HHS Region 3","4 wk ahead","Bin","percent","1.3","1.4",0.0108
"HHS Region 3","4 wk ahead","Bin","percent","1.4","1.5",0.0215
"HHS Region 3","4 wk ahead","Bin","percent","1.5","1.6",0.0395
"HHS Region 3","4 wk ahead","Bin","percent","1.6","1.7",0.071
"HHS Region 3","4 wk ahead","Bin","percent","1.7","1.8",0.1068
"HHS Region 3","4 wk ahead","Bin","percent","1.8","1.9",0.1648
"HHS Region 3","4 wk ahead","Bin","percent","1.9","2.0",0.1807
"HHS Region 3","4 wk ahead","Bin","percent","2.0","2.1",0.1419
"HHS Region 3","4 wk ahead","Bin","percent","2.1","2.2",0.1017
"HHS Region 3","4 wk ahead","Bin","percent","2.2","2.3",0.0478
"HHS Region 3","4 wk ahead","Bin","percent","2.3","2.4",0.0239
"HHS Region 3","4 wk ahead","Bin","percent","2.4","2.5",0.01
"HHS Region 3","4 wk ahead","Bin","percent","2.5","2.6",0.0053
"HHS Region 3","4 wk ahead","Bin","percent","2.6","2.7",0.0025
"HHS Region 3","4 wk ahead","Bin","percent","2.7","2.8",0.0014
"HHS Region 3","4 wk ahead","Bin","percent","2.8","2.9",0.0018
"HHS Region 3","4 wk ahead","Bin","percent","2.9","3.0",0.0015
"HHS Region 3","4 wk ahead","Bin","percent","3.0","3.1",0.001
"HHS Region 3","4 wk ahead","Bin","percent","3.1","3.2",0.001
"HHS Region 3","4 wk ahead","Bin","percent","3.2","3.3",4e-04
"HHS Region 3","4 wk ahead","Bin","percent","3.3","3.4",0.0012
"HHS Region 3","4 wk ahead","Bin","percent","3.4","3.5",0.0013
"HHS Region 3","4 wk ahead","Bin","percent","3.5","3.6",8e-04
"HHS Region 3","4 wk ahead","Bin","percent","3.6","3.7",7e-04
"HHS Region 3","4 wk ahead","Bin","percent","3.7","3.8",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","3.8","3.9",4e-04
"HHS Region 3","4 wk ahead","Bin","percent","3.9","4.0",7e-04
"HHS Region 3","4 wk ahead","Bin","percent","4.0","4.1",5e-04
"HHS Region 3","4 wk ahead","Bin","percent","4.1","4.2",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","4.2","4.3",7e-04
"HHS Region 3","4 wk ahead","Bin","percent","4.3","4.4",6e-04
"HHS Region 3","4 wk ahead","Bin","percent","4.4","4.5",7e-04
"HHS Region 3","4 wk ahead","Bin","percent","4.5","4.6",4e-04
"HHS Region 3","4 wk ahead","Bin","percent","4.6","4.7",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","4.7","4.8",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","4.8","4.9",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","4.9","5.0",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","5.0","5.1",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","5.1","5.2",4e-04
"HHS Region 3","4 wk ahead","Bin","percent","5.2","5.3",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","5.3","5.4",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","5.4","5.5",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","5.5","5.6",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","5.6","5.7",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","5.7","5.8",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","5.8","5.9",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","5.9","6.0",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","6.0","6.1",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","6.1","6.2",5e-04
"HHS Region 3","4 wk ahead","Bin","percent","6.2","6.3",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","6.3","6.4",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","6.4","6.5",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","6.5","6.6",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","6.6","6.7",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","6.7","6.8",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 3","4 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 3","4 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 3","4 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 3","4 wk ahead","Bin","percent","7.2","7.3",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 3","4 wk ahead","Bin","percent","7.4","7.5",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","7.5","7.6",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","7.6","7.7",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 3","4 wk ahead","Bin","percent","7.8","7.9",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","7.9","8.0",3e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.0","8.1",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.1","8.2",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.2","8.3",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.3","8.4",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 3","4 wk ahead","Bin","percent","8.5","8.6",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.6","8.7",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.7","8.8",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 3","4 wk ahead","Bin","percent","8.9","9.0",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","9.0","9.1",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 3","4 wk ahead","Bin","percent","9.2","9.3",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 3","4 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 3","4 wk ahead","Bin","percent","9.5","9.6",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","9.6","9.7",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","9.7","9.8",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 3","4 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 3","4 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 3","4 wk ahead","Bin","percent","10.1","10.2",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","10.2","10.3",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 3","4 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 3","4 wk ahead","Bin","percent","10.5","10.6",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 3","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 3","4 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 3","4 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 3","4 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 3","4 wk ahead","Bin","percent","11.1","11.2",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","11.2","11.3",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 3","4 wk ahead","Bin","percent","11.4","11.5",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 3","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 3","4 wk ahead","Bin","percent","11.7","11.8",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 3","4 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 3","4 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 3","4 wk ahead","Bin","percent","12.1","12.2",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 3","4 wk ahead","Bin","percent","12.3","12.4",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 3","4 wk ahead","Bin","percent","12.5","12.6",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","12.6","12.7",2e-04
"HHS Region 3","4 wk ahead","Bin","percent","12.7","12.8",1e-04
"HHS Region 3","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 3","4 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 3","4 wk ahead","Bin","percent","13.0","100.0",1e-04
"HHS Region 4","1 wk ahead","Point","percent",NA,NA,2.3
"HHS Region 4","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 4","1 wk ahead","Bin","percent","0.1","0.2",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","0.2","0.3",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","0.3","0.4",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 4","1 wk ahead","Bin","percent","0.5","0.6",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 4","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 4","1 wk ahead","Bin","percent","0.8","0.9",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","0.9","1.0",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.0","1.1",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 4","1 wk ahead","Bin","percent","1.2","1.3",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.3","1.4",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.4","1.5",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.5","1.6",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.6","1.7",7e-04
"HHS Region 4","1 wk ahead","Bin","percent","1.7","1.8",0.0066
"HHS Region 4","1 wk ahead","Bin","percent","1.8","1.9",0.0174
"HHS Region 4","1 wk ahead","Bin","percent","1.9","2.0",0.0368
"HHS Region 4","1 wk ahead","Bin","percent","2.0","2.1",0.0774
"HHS Region 4","1 wk ahead","Bin","percent","2.1","2.2",0.1476
"HHS Region 4","1 wk ahead","Bin","percent","2.2","2.3",0.2107
"HHS Region 4","1 wk ahead","Bin","percent","2.3","2.4",0.2125
"HHS Region 4","1 wk ahead","Bin","percent","2.4","2.5",0.149
"HHS Region 4","1 wk ahead","Bin","percent","2.5","2.6",0.0792
"HHS Region 4","1 wk ahead","Bin","percent","2.6","2.7",0.0344
"HHS Region 4","1 wk ahead","Bin","percent","2.7","2.8",0.0133
"HHS Region 4","1 wk ahead","Bin","percent","2.8","2.9",0.0038
"HHS Region 4","1 wk ahead","Bin","percent","2.9","3.0",9e-04
"HHS Region 4","1 wk ahead","Bin","percent","3.0","3.1",6e-04
"HHS Region 4","1 wk ahead","Bin","percent","3.1","3.2",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","3.2","3.3",0
"HHS Region 4","1 wk ahead","Bin","percent","3.3","3.4",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","3.4","3.5",0
"HHS Region 4","1 wk ahead","Bin","percent","3.5","3.6",0
"HHS Region 4","1 wk ahead","Bin","percent","3.6","3.7",0
"HHS Region 4","1 wk ahead","Bin","percent","3.7","3.8",0
"HHS Region 4","1 wk ahead","Bin","percent","3.8","3.9",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","3.9","4.0",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.0","4.1",0
"HHS Region 4","1 wk ahead","Bin","percent","4.1","4.2",0
"HHS Region 4","1 wk ahead","Bin","percent","4.2","4.3",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.3","4.4",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.4","4.5",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.5","4.6",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.6","4.7",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.7","4.8",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.8","4.9",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","4.9","5.0",0
"HHS Region 4","1 wk ahead","Bin","percent","5.0","5.1",0
"HHS Region 4","1 wk ahead","Bin","percent","5.1","5.2",0
"HHS Region 4","1 wk ahead","Bin","percent","5.2","5.3",0
"HHS Region 4","1 wk ahead","Bin","percent","5.3","5.4",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","5.4","5.5",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 4","1 wk ahead","Bin","percent","5.6","5.7",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","5.7","5.8",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 4","1 wk ahead","Bin","percent","5.9","6.0",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","6.0","6.1",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 4","1 wk ahead","Bin","percent","6.2","6.3",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 4","1 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 4","1 wk ahead","Bin","percent","6.5","6.6",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 4","1 wk ahead","Bin","percent","6.7","6.8",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","6.8","6.9",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 4","1 wk ahead","Bin","percent","7.0","7.1",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 4","1 wk ahead","Bin","percent","7.2","7.3",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","7.3","7.4",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 4","1 wk ahead","Bin","percent","7.5","7.6",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 4","1 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 4","1 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 4","1 wk ahead","Bin","percent","7.9","8.0",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 4","1 wk ahead","Bin","percent","8.1","8.2",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","8.2","8.3",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","8.3","8.4",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 4","1 wk ahead","Bin","percent","8.5","8.6",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","8.6","8.7",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 4","1 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 4","1 wk ahead","Bin","percent","8.9","9.0",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 4","1 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 4","1 wk ahead","Bin","percent","9.2","9.3",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 4","1 wk ahead","Bin","percent","9.4","9.5",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 4","1 wk ahead","Bin","percent","9.6","9.7",3e-04
"HHS Region 4","1 wk ahead","Bin","percent","9.7","9.8",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 4","1 wk ahead","Bin","percent","9.9","10.0",3e-04
"HHS Region 4","1 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 4","1 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 4","1 wk ahead","Bin","percent","10.2","10.3",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","10.3","10.4",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","10.4","10.5",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","10.5","10.6",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 4","1 wk ahead","Bin","percent","10.7","10.8",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 4","1 wk ahead","Bin","percent","10.9","11.0",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 4","1 wk ahead","Bin","percent","11.1","11.2",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 4","1 wk ahead","Bin","percent","11.3","11.4",2e-04
"HHS Region 4","1 wk ahead","Bin","percent","11.4","11.5",3e-04
"HHS Region 4","1 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 4","1 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 4","1 wk ahead","Bin","percent","11.7","11.8",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","11.8","11.9",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 4","1 wk ahead","Bin","percent","12.0","12.1",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 4","1 wk ahead","Bin","percent","12.2","12.3",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","12.3","12.4",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","12.4","12.5",4e-04
"HHS Region 4","1 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 4","1 wk ahead","Bin","percent","12.6","12.7",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","12.7","12.8",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 4","1 wk ahead","Bin","percent","12.9","13.0",1e-04
"HHS Region 4","1 wk ahead","Bin","percent","13.0","100.0",2e-04
"HHS Region 4","2 wk ahead","Point","percent",NA,NA,2.4
"HHS Region 4","2 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 4","2 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 4","2 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 4","2 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 4","2 wk ahead","Bin","percent","0.4","0.5",1e-04
"HHS Region 4","2 wk ahead","Bin","percent","0.5","0.6",1e-04
"HHS Region 4","2 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 4","2 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 4","2 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 4","2 wk ahead","Bin","percent","0.9","1.0",3e-04
"HHS Region 4","2 wk ahead","Bin","percent","1.0","1.1",2e-04
"HHS Region 4","2 wk ahead","Bin","percent","1.1","1.2",1e-04
"HHS Region 4","2 wk ahead","Bin","percent","1.2","1.3",1e-04
"HHS Region 4","2 wk ahead","Bin","percent","1.3","1.4",2e-04
"HHS Region 4","2 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 4","2 wk ahead","Bin","percent","1.5","1.6",3e-04
"HHS Region 4","2 wk ahead","Bin","percent","1.6","1.7",2e-04
"HHS Region 4","2 wk ahead","Bin","percent","1.7","1.8",5e-04
"HHS Region 4","2 wk ahead","Bin","percent","1.8","1.9",0.0037
"HHS Region 4","2 wk ahead","Bin","percent","1.9","2.0",0.0095
"HHS Region 4","2 wk ahead","Bin","percent","2.0","2.1",0.0168
"HHS Region 4","2 wk ahead","Bin","percent","2.1","2.2",0.0442
"HHS Region 4","2 wk ahead","Bin","percent","2.2","2.3",0.0947
"HHS Region 4","2 wk ahead","Bin","percent","2.3","2.4",0.1526
"HHS Region 4","2 wk ahead","Bin","percent","2.4","2.5",0.196
"HHS Region 4","2 wk ahead","Bin","percent","2.5","2.6",0.1748
"HHS Region 4","2 wk ahead","Bin","percent","2.6","2.7",0.1246
"HHS Region 4","2 wk ahead","Bin","percent","2.7","2.8",0.0768
"HHS Region 4","2 wk ahead","Bin","percent","2.8","2.9",0.0423
"HHS Region 4","2 wk ahead","Bin","percent","2.9","3.0",0.0238
"HHS Region 4","2 wk ahead","Bin","percent","3.0","3.1",0.0133
"HHS Region 4","2 wk ahead","Bin","percent","3.1","3.2",0.0083
"HHS Region 4","2 wk ahead","Bin","percent","3.2","3.3",0.0037
"HHS Region 4","2 wk ahead","Bin","percent","3.3","3.4",0.002
"HHS Region 4","2 wk ahead","Bin","percent","3.4","3.5",8e-04
"HHS Region 4","2 wk ahead","Bin","percent","3.5","3.6",5e-04
"HHS Region 4","2 wk ahead","Bin","percent","3.6","3.7",3e-04
"HHS Region 4","2 wk ahead","Bin","percent","3.7","3.8",2e-04
"HHS Region 4","2 wk ahead","Bin","percent","3.8","3.9",1e-04
"HHS Region 4","2 wk ahead","Bin","percent","3.9","4.0",0
"HHS Region 4","2 wk ahead","Bin","percent","4.0","4.1",1e-04
"HHS Region 4","2 wk ahead","Bin","percent","4.1","4.2",0
"HHS Region 4","2 wk ahead","Bin","percent","4.2","4.3",2e-04
"HHS Region 4","2 wk ahead","Bin","percent","4.3","4.4",0
"HHS Region 4","2 wk ahead","Bin","percent","4.4","4.5",1e-04
"HHS Region 4","2 wk ahead","Bin","percent","4.5","4.6",1e-04
"HHS Region 4","2 wk ahead","Bin","percent","4.6","4.7",0
"HHS Region 4","2 wk ahead","Bin","percent","4.7","4.8",0
"HHS Region 4","2 wk ahead","Bin","percent","4.8","4.9",0
